annotator	argumentative	overall quality	local acceptability	appropriateness	arrangement	clarity	cogency	effectiveness	global acceptability	global relevance	global sufficiency	reasonableness	local relevance	credibility	emotional appeal	sufficiency	argument	#id	issue	stance
2	y	2 (Average)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	3 (High)	3 (High)	1 (Low)	2 (Average)	3 (High)	2 (Average)	3 (High)	2 (Average)	Bottled water is somewhat less likely to be found in developing countries, where public water is least safe to drink. Many government programs regularly disperse bottled water for various reasons. Distributing small bottles of water is much easier than distributing large bulk storages of water. Also contamination from large water storage containers is much more likely than from single 12-20 ounce bottles of water.	arg219259	ban-plastic-water-bottles	no-bad-for-the-economy
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Bottled water is somewhat less likely to be found in developing countries, where public water is least safe to drink. Many government programs regularly disperse bottled water for various reasons. Distributing small bottles of water is much easier than distributing large bulk storages of water. Also contamination from large water storage containers is much more likely than from single 12-20 ounce bottles of water.	arg219259	ban-plastic-water-bottles	no-bad-for-the-economy
1	y	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	3 (High)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Western Europe consumes almost 50% of the world's bottled water. Many claim that this is due to European culture, since the continent has had very polluted waters due to agriculture and industry dating back to the Industrial Revolution. The water bottles they buy help us.	arg219244	ban-plastic-water-bottles	no-bad-for-the-economy
2	y	1 (Low)	1 (Low)	3 (High)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	Western Europe consumes almost 50% of the world's bottled water. Many claim that this is due to European culture, since the continent has had very polluted waters due to agriculture and industry dating back to the Industrial Revolution. The water bottles they buy help us.	arg219244	ban-plastic-water-bottles	no-bad-for-the-economy
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Western Europe consumes almost 50% of the world's bottled water. Many claim that this is due to European culture, since the continent has had very polluted waters due to agriculture and industry dating back to the Industrial Revolution. The water bottles they buy help us.	arg219244	ban-plastic-water-bottles	no-bad-for-the-economy
1	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	Americans spend billions on bottled water every year. Banning their sale would greatly hurt an already struggling economy. In addition to the actual sale of water bottles, the plastics that they are made out of, and the advertising on both the bottles and packaging are also big business. In addition to this, compostable waters bottle are also coming onto the market, these can be used instead of plastics to eliminate that detriment. Moreover, bottled water not only has a cleaner safety record than municipal water, but it easier to trace when a potential health risk does occur. <br/> (http://www.friendsjournal.org/bottled-water) (http://www.cdc.gov/healthywater/drinking/bottled/)	arg219206	ban-plastic-water-bottles	no-bad-for-the-economy
2	y	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	Americans spend billions on bottled water every year. Banning their sale would greatly hurt an already struggling economy. In addition to the actual sale of water bottles, the plastics that they are made out of, and the advertising on both the bottles and packaging are also big business. In addition to this, compostable waters bottle are also coming onto the market, these can be used instead of plastics to eliminate that detriment. Moreover, bottled water not only has a cleaner safety record than municipal water, but it easier to trace when a potential health risk does occur. <br/> (http://www.friendsjournal.org/bottled-water) (http://www.cdc.gov/healthywater/drinking/bottled/)	arg219206	ban-plastic-water-bottles	no-bad-for-the-economy
3	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	1 (Low)	3 (High)	Americans spend billions on bottled water every year. Banning their sale would greatly hurt an already struggling economy. In addition to the actual sale of water bottles, the plastics that they are made out of, and the advertising on both the bottles and packaging are also big business. In addition to this, compostable waters bottle are also coming onto the market, these can be used instead of plastics to eliminate that detriment. Moreover, bottled water not only has a cleaner safety record than municipal water, but it easier to trace when a potential health risk does occur. <br/> (http://www.friendsjournal.org/bottled-water) (http://www.cdc.gov/healthywater/drinking/bottled/)	arg219206	ban-plastic-water-bottles	no-bad-for-the-economy
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Plastic is good light weight and a good for ditrabutions.	arg219268	ban-plastic-water-bottles	no-bad-for-the-economy
2	y	1 (Low)	3 (High)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	Plastic is good light weight and a good for ditrabutions.	arg219268	ban-plastic-water-bottles	no-bad-for-the-economy
3	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	Plastic is good light weight and a good for ditrabutions.	arg219268	ban-plastic-water-bottles	no-bad-for-the-economy
1	y	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	U.S. alone grew by over 13%. According to research and consulting done by the Beverage Marketing Corporation, the global bottled water industry has exploded to over $35 billion. Americans alone paid $7.7 billion for bottled water in 2002. In 2001, for example globally bottled water companies produced over 130,000 million liters of water. This produced roughly 35,000 million dollars in revenue for the world's thousands of bottled water companies in 2001.	arg219245	ban-plastic-water-bottles	no-bad-for-the-economy
2	y	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	3 (High)	3 (High)	1 (Low)	3 (High)	3 (High)	3 (High)	2 (Average)	1 (Low)	U.S. alone grew by over 13%. According to research and consulting done by the Beverage Marketing Corporation, the global bottled water industry has exploded to over $35 billion. Americans alone paid $7.7 billion for bottled water in 2002. In 2001, for example globally bottled water companies produced over 130,000 million liters of water. This produced roughly 35,000 million dollars in revenue for the world's thousands of bottled water companies in 2001.	arg219245	ban-plastic-water-bottles	no-bad-for-the-economy
3	y	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	3 (High)	2 (Average)	1 (Low)	2 (Average)	3 (High)	1 (Low)	1 (Low)	1 (Low)	U.S. alone grew by over 13%. According to research and consulting done by the Beverage Marketing Corporation, the global bottled water industry has exploded to over $35 billion. Americans alone paid $7.7 billion for bottled water in 2002. In 2001, for example globally bottled water companies produced over 130,000 million liters of water. This produced roughly 35,000 million dollars in revenue for the world's thousands of bottled water companies in 2001.	arg219245	ban-plastic-water-bottles	no-bad-for-the-economy
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	We will be able to ban water bottles until we get out of this recession!	arg219242	ban-plastic-water-bottles	no-bad-for-the-economy
2	n																We will be able to ban water bottles until we get out of this recession!	arg219242	ban-plastic-water-bottles	no-bad-for-the-economy
3	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	We will be able to ban water bottles until we get out of this recession!	arg219242	ban-plastic-water-bottles	no-bad-for-the-economy
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	3 (High)	3 (High)	Banning plastic bottled water would be a huge mistake in this very moment. More than a million people in the United States purchase bottled water every day which is helping the economy com out of this recession we are in. maybe not in a big way but every kid of help counts! Bottled water also only makes less then 1&#xof; the worlds wastes and can be recycled! According to the National Association for PET Container resources, PET water bottles are no the most recycled container in curb side programs by weight and by number! <br/> http://www.nestlewaterscorporate.com/bottled_water_things_to_know/Video/index.html?@videoList.featured=31101711001	arg219225	ban-plastic-water-bottles	no-bad-for-the-economy
2	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	Banning plastic bottled water would be a huge mistake in this very moment. More than a million people in the United States purchase bottled water every day which is helping the economy com out of this recession we are in. maybe not in a big way but every kid of help counts! Bottled water also only makes less then 1&#xof; the worlds wastes and can be recycled! According to the National Association for PET Container resources, PET water bottles are no the most recycled container in curb side programs by weight and by number! <br/> http://www.nestlewaterscorporate.com/bottled_water_things_to_know/Video/index.html?@videoList.featured=31101711001	arg219225	ban-plastic-water-bottles	no-bad-for-the-economy
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	Banning plastic bottled water would be a huge mistake in this very moment. More than a million people in the United States purchase bottled water every day which is helping the economy com out of this recession we are in. maybe not in a big way but every kid of help counts! Bottled water also only makes less then 1&#xof; the worlds wastes and can be recycled! According to the National Association for PET Container resources, PET water bottles are no the most recycled container in curb side programs by weight and by number! <br/> http://www.nestlewaterscorporate.com/bottled_water_things_to_know/Video/index.html?@videoList.featured=31101711001	arg219225	ban-plastic-water-bottles	no-bad-for-the-economy
1	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	The high price of bottled water is not the water but, in actuality, the cost of the bottling, packaging, shipping, marketing, retailing and transporting it all over the globe	arg219232	ban-plastic-water-bottles	yes-emergencies-only
2	y	1 (Low)	2 (Average)	3 (High)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	The high price of bottled water is not the water but, in actuality, the cost of the bottling, packaging, shipping, marketing, retailing and transporting it all over the globe	arg219232	ban-plastic-water-bottles	yes-emergencies-only
3	n																The high price of bottled water is not the water but, in actuality, the cost of the bottling, packaging, shipping, marketing, retailing and transporting it all over the globe	arg219232	ban-plastic-water-bottles	yes-emergencies-only
1	y	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	3 (High)	2 (Average)	Take, for instance, Pepsi's Aquafina or Coca-Cola's Dasani bottled water. Both are sold in 20 ounce sizes and can be purchased from vending machines alongside soft drinks - and at the same price. Assuming you can find a $1 machine, that works out to 5 cents an ounce. These two brands are essentially filtered tap water, bottled close to their distribution point. Most municipal water costs less than 1 cent per gallon. <br/> So why would you pay for something that comes out of your sink.	arg219254	ban-plastic-water-bottles	yes-emergencies-only
2	y	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	3 (High)	1 (Low)	3 (High)	3 (High)	3 (High)	3 (High)	1 (Low)	Take, for instance, Pepsi's Aquafina or Coca-Cola's Dasani bottled water. Both are sold in 20 ounce sizes and can be purchased from vending machines alongside soft drinks - and at the same price. Assuming you can find a $1 machine, that works out to 5 cents an ounce. These two brands are essentially filtered tap water, bottled close to their distribution point. Most municipal water costs less than 1 cent per gallon. <br/> So why would you pay for something that comes out of your sink.	arg219254	ban-plastic-water-bottles	yes-emergencies-only
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	Take, for instance, Pepsi's Aquafina or Coca-Cola's Dasani bottled water. Both are sold in 20 ounce sizes and can be purchased from vending machines alongside soft drinks - and at the same price. Assuming you can find a $1 machine, that works out to 5 cents an ounce. These two brands are essentially filtered tap water, bottled close to their distribution point. Most municipal water costs less than 1 cent per gallon. <br/> So why would you pay for something that comes out of your sink.	arg219254	ban-plastic-water-bottles	yes-emergencies-only
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	A drop of water is worth more than a sack of gold to a thirsty man	arg219210	ban-plastic-water-bottles	yes-emergencies-only
2	n																A drop of water is worth more than a sack of gold to a thirsty man	arg219210	ban-plastic-water-bottles	yes-emergencies-only
3	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	A drop of water is worth more than a sack of gold to a thirsty man	arg219210	ban-plastic-water-bottles	yes-emergencies-only
1	y	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	In New York City alone, the transportation of bottled water from western Europe released an estimated 3,800 tons of global warming pollution into the atmosphere. In California, 18 million gallons of bottled water were shipped in from Fiji in 2006, producing about 2,500 tons of global warming pollution.	arg219227	ban-plastic-water-bottles	yes-emergencies-only
2	y	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	1 (Low)	In New York City alone, the transportation of bottled water from western Europe released an estimated 3,800 tons of global warming pollution into the atmosphere. In California, 18 million gallons of bottled water were shipped in from Fiji in 2006, producing about 2,500 tons of global warming pollution.	arg219227	ban-plastic-water-bottles	yes-emergencies-only
3	y	2 (Average)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	3 (High)	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	In New York City alone, the transportation of bottled water from western Europe released an estimated 3,800 tons of global warming pollution into the atmosphere. In California, 18 million gallons of bottled water were shipped in from Fiji in 2006, producing about 2,500 tons of global warming pollution.	arg219227	ban-plastic-water-bottles	yes-emergencies-only
1	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	The growth in bottled water production has increased water extraction in areas near bottling plants, leading to water shortages that affect nearby consumers and farmers. In addition to the millions of gallons of water used in the plastic-making process, two gallons of water are wasted in the purification process for every gallon that goes into the bottles.	arg219220	ban-plastic-water-bottles	yes-emergencies-only
2	y	2 (Average)	3 (High)	3 (High)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	3 (High)	3 (High)	2 (Average)	1 (Low)	The growth in bottled water production has increased water extraction in areas near bottling plants, leading to water shortages that affect nearby consumers and farmers. In addition to the millions of gallons of water used in the plastic-making process, two gallons of water are wasted in the purification process for every gallon that goes into the bottles.	arg219220	ban-plastic-water-bottles	yes-emergencies-only
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	The growth in bottled water production has increased water extraction in areas near bottling plants, leading to water shortages that affect nearby consumers and farmers. In addition to the millions of gallons of water used in the plastic-making process, two gallons of water are wasted in the purification process for every gallon that goes into the bottles.	arg219220	ban-plastic-water-bottles	yes-emergencies-only
1	y	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Water bottles can easily be made into long term fiber materials, like clothing or carpet. It is easy to just fill cup with water and re use it.	arg219261	ban-plastic-water-bottles	yes-emergencies-only
2	y	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	Water bottles can easily be made into long term fiber materials, like clothing or carpet. It is easy to just fill cup with water and re use it.	arg219261	ban-plastic-water-bottles	yes-emergencies-only
3	y	1 (Low)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Water bottles can easily be made into long term fiber materials, like clothing or carpet. It is easy to just fill cup with water and re use it.	arg219261	ban-plastic-water-bottles	yes-emergencies-only
1	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	Water bottles, good or bad? Many people believe plastic water bottles to be good. But the truth is water bottles are polluting land and unnecessary. Plastic water bottles should only be used in emergency purposes only. The water in those plastic are only filtered tap water. In an emergency situation like Katrina no one had access to tap water. In a situation like this water bottles are good because it provides the people in need. Other than that water bottles should not be legal because it pollutes the land and big companies get 1000% of the profit.	arg219233	ban-plastic-water-bottles	yes-emergencies-only
2	y	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	Water bottles, good or bad? Many people believe plastic water bottles to be good. But the truth is water bottles are polluting land and unnecessary. Plastic water bottles should only be used in emergency purposes only. The water in those plastic are only filtered tap water. In an emergency situation like Katrina no one had access to tap water. In a situation like this water bottles are good because it provides the people in need. Other than that water bottles should not be legal because it pollutes the land and big companies get 1000% of the profit.	arg219233	ban-plastic-water-bottles	yes-emergencies-only
3	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	Water bottles, good or bad? Many people believe plastic water bottles to be good. But the truth is water bottles are polluting land and unnecessary. Plastic water bottles should only be used in emergency purposes only. The water in those plastic are only filtered tap water. In an emergency situation like Katrina no one had access to tap water. In a situation like this water bottles are good because it provides the people in need. Other than that water bottles should not be legal because it pollutes the land and big companies get 1000% of the profit.	arg219233	ban-plastic-water-bottles	yes-emergencies-only
1	n																Yeah I have a bottle of water next to me its no bid deal!	arg219292	ban-plastic-water-bottles	yes-emergencies-only
2	n																Yeah I have a bottle of water next to me its no bid deal!	arg219292	ban-plastic-water-bottles	yes-emergencies-only
3	n																Yeah I have a bottle of water next to me its no bid deal!	arg219292	ban-plastic-water-bottles	yes-emergencies-only
1	y	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	Yes I do feel that the consumption of water bottles should not be allowed anywhere unless in the case of emergency. Plastic bottles can leak chemicals after a period of time. Water bottles also are almost never recycled, and end up in landfills which lead to pollution of our environment. They take 700 years to start to decompose. 90% of the cost is the bottle itself... The water is usually tap water, and is not regulated. Even if tap water is dirty, you can easily clean it out with leaves, moss, and some water cleanser. Nearly one in five tested water bottles have bacteria anyway.	arg219204	ban-plastic-water-bottles	yes-emergencies-only
2	y	2 (Average)	2 (Average)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	Yes I do feel that the consumption of water bottles should not be allowed anywhere unless in the case of emergency. Plastic bottles can leak chemicals after a period of time. Water bottles also are almost never recycled, and end up in landfills which lead to pollution of our environment. They take 700 years to start to decompose. 90% of the cost is the bottle itself... The water is usually tap water, and is not regulated. Even if tap water is dirty, you can easily clean it out with leaves, moss, and some water cleanser. Nearly one in five tested water bottles have bacteria anyway.	arg219204	ban-plastic-water-bottles	yes-emergencies-only
3	y	2 (Average)	2 (Average)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	Yes I do feel that the consumption of water bottles should not be allowed anywhere unless in the case of emergency. Plastic bottles can leak chemicals after a period of time. Water bottles also are almost never recycled, and end up in landfills which lead to pollution of our environment. They take 700 years to start to decompose. 90% of the cost is the bottle itself... The water is usually tap water, and is not regulated. Even if tap water is dirty, you can easily clean it out with leaves, moss, and some water cleanser. Nearly one in five tested water bottles have bacteria anyway.	arg219204	ban-plastic-water-bottles	yes-emergencies-only
1	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Estimates variously place worldwide bottled water sales at between $50 and $100 billion each year, with the market expanding at the startling annual rate of 7 percent. Bottled water is big business. But in terms of sustainability, bottled water is a dry well.	arg219213	ban-plastic-water-bottles	yes-emergencies-only
2	y	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	Estimates variously place worldwide bottled water sales at between $50 and $100 billion each year, with the market expanding at the startling annual rate of 7 percent. Bottled water is big business. But in terms of sustainability, bottled water is a dry well.	arg219213	ban-plastic-water-bottles	yes-emergencies-only
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Estimates variously place worldwide bottled water sales at between $50 and $100 billion each year, with the market expanding at the startling annual rate of 7 percent. Bottled water is big business. But in terms of sustainability, bottled water is a dry well.	arg219213	ban-plastic-water-bottles	yes-emergencies-only
1	y	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	3 (High)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	As humans, we cannot know exactly if there is a higher force or not. Christianity however is not it. Firstly because it is not one belief that every Christian shares, it lacks solidarity. I compare it to a road with all different kinds of sideways. Ask a question about religion, and lots of people will find one of those sideways to adjust their religion to their personal beliefs. <br/> With AtheÌøsm, the concept is pretty clear. It is more scientific, and I like that.	arg246334	christianity-or-atheism	atheism
